date,quote,speaker,note,source,url
2021-07-09,<b>จะขอไม่รับเงินเดือน 3 เดือน</b> เพื่อใช้ประโยชน์สำหรับการแก้สถานการณ์โควิด 19,prayut,"เงินเดือนต่อเดือน 125,590 บาท 3 เดือน รวมเป็นเงิน 376,770 บาท",Amarin,https://www.amarintv.com/news/detail/88347
2021-07-09,ต่างประเทศที่เขามีการล็อกดาวน์ เขาตามมาด้วยเครื่องมืออื่นๆ โดยเฉพาะเครื่องมือสำคัญคือการตรวจว่าใครติดเชื้อบ้าง <b>ถ้าเราล็อกดาวน์เฉยๆ แล้วหวังว่าทุกอย่างจะหายไปเอง เป็นไปไม่ได้</b> เพราะยังมีผู้ติดเชื้ออยู่,jessada,,The Momentum,https://www.facebook.com/themomentumco/posts/2738033003155053
2021-07-13,วัคซีนท้องเสียโรตา หรือแม้กระทั่งวัคซีนคอตีบ ไอ กรน บาดทะยัก เวลาใครไปฉีดในเด็ก เคยถามไหมว่าลูกฉีดยี่ห้ออะไร ปีนี้ประมูลได้ยี่ห้ออะไร ปีหน้าประมูลได้ยี่ห้ออะไร <b>ไวรัสหรือแบคทีเรียต่างๆ มันคงไม่รู้หรอกว่าวัคซีนที่ฉีดไปเนี่ยยี่ห้ออะไร</b>,yong,หลังจากไทยกลายเป็นประเทศแรกๆ ที่ประกาศฉีดวัคซีน Sinovac เข็มแรกและ AstraZeneca เข็มที่ 2,The Matter,https://www.facebook.com/thematterco/posts/2937535263128523
2021-07-14,ชนชั้นนำไทยทุกวงการ (โดยเฉพาะหมอและรัฐ) รู้ดีว่าวัคซีน mRNA คือวัคซีนที่มีประสิทธิภาพดีที่สุดในการป้องกันการติดเชื้อ ถ้ามีโอกาสก็อยากให้ตนเอง/ครอบครัว/เพื่อนได้ฉีด <b>สูตรฉีดสลับและการยกย่องวัคซีนเชื้อตายมีไว้สำหรับกล่อมเกลาปชช.(ที่ไร้สิทธิไร้อำนาจไร้ทางเลือกใดๆ) เท่านั้นเอง</b>,prajak,,Twitter,https://twitter.com/bkksnow/status/1415348713564753923
2021-07-15,จริงๆ มันมีคลาดเคลื่อนนิดหน่อย ก็คือว่าตัวเลขของปี 2564 <b>จากเดิมแอสตราเซเนกาจะกำหนดส่งให้เราในเดือนธันวาคม แต่ขยายมา น่าจะเป็น เออ ผมจำเดือนไม่ค่อยได้ น่าจะเป็นพฤษภาคมปีหน้า</b> เรียนว่าในสัญญาอาจจะไม่ได้มีเงื่อนเวลา แต่ว่าอาจจะมีจำนวนเต็มทั้งหมด,satid,,The Momentum,https://www.facebook.com/themomentumco/posts/2742164062741947
2021-07-19,ออกมาชุุมนุมแบบนี้ มันควรจริงๆ เหรอครับ สถานการณ์ตอนนี้มันเลวร้ายมากๆ ถ้าไม่ออกมาจะมีใครไปยิงไหม จะมีใครฉีดน้ำใส่ไหม <b>บอกรัฐบาลควรประหยัด แต่ออกมาทีรัฐเสียค่าใช้จ่ายเท่าไหร่คุณทราบไหม พังรถไปกี่คัน คันเท่าไหร่ ผมถามกลับเอาเงินไปซื้อวัคซีนดีกว่าไหม</b>,pai,กล่าวถึงการชุมนุมขับไล่รัฐบาลเมื่อวันที่ 18 ก.ค. 2564,Voice TV,https://www.voicetv.co.th/read/eAcjRMDR7
2021-07-20,ต้องยอมรับว่าสถานการณ์ได้เดินทางมาถึงจุดที่เป็น 'หัวเลี้ยวหัวต่อ' ของภาวะวิกฤตอีกครั้ง <b>นอกจากนี้มียังประชาชนส่วนหนึ่งที่กระทำตัวเป็นภาระของส่วนรวม กระทำการฝ่าฝืนกฎหมายและเพิ่มความเสี่ยงให้กับทุกคน</b> ด้วยการรวมตัวกันเล่นการพนัน จับกลุ่มดื่มสุราหรือจัดปาร์ตี้ และจัดกิจกรรมเกินจำนวนที่กฎหมายกำหนด ทำให้การแพร่ระบาดยังไม่ลดลง,prayut,,The Standard,https://www.facebook.com/thestandardth/posts/2801241830168691
2021-07-21,กลุ่มดารา นักแสดง อินฟลูเอนเซอร์ เป็นบุคคลสาธารณะที่ประชาชนรักและศรัทธา ขอความกรุณาอย่าใช้สิ่งเหล่านี้เคลื่อนไหวทางการเมืองโจมตีรัฐบาล เพราะสิ่งที่ทำเป็นการบิดเบือนข้อมูล เป็นการสร้างเฟกนิวส์ขึ้นในระบบโซเชียลมีเดีย <b>ท่านพูดแต่ว่าทุกวันนี้มีคนตายเป็นจำนวนมากเพราะโควิด เนื่องจากวัคซีนไม่ดี เป็นความผิดของรัฐบาล แล้วมันจริงหรือไม่</b> ขอให้อย่ามองเพียงด้านเดียว,chaiyawut,,The Standard,https://www.facebook.com/thestandardth/posts/2801676473458560
2021-07-21,<b>ต้องกราบขออภัยพี่น้องประชาชนที่สถาบันวัคซีนแห่งชาติแม้ว่าจะได้พยายามเต็มที่แล้ว แต่ก็ยังจัดหาวัคซีนได้ไม่เพียงพอต่อสถานการณ์</b> ในปีหน้าจะเร่งรัดจัดหาวัคซีนรุ่นที่ 2 ที่สามารถรองรับไวรัสที่กลายพันธุ์ได้ ซึ่งมีเป้าหมายจัดส่งได้ในช่วงไตรมาสแรกของปีหน้า นอกจากนี้เรายังอยู่ในการเข้าร่วมกับโครงการ COVAX เพียงแต่ยังไม่มีการลงนามในการจัดหาวัคซีนร่วมกัน,pramesri,,The Standard,https://www.facebook.com/thestandardth/posts/2801813380111536
2021-07-27,<b>คือเราจะพบผู้ป่วยที่บ้านรอคอยเตียงอยู่ อาจจะโชคร้ายบ้างที่อาจจะมีเสียชีวิตที่บ้าน</b> แต่ว่าเรามีมาตรการที่จะดำเนินการ สัก 3 อาทิตย์เราก็จะเห็นแสงสว่างที่ปลายอุโมงค์ว่าในสังคมไทยที่กำลังมี ความทุกข์ความเศร้า ถ้าเราร่วมมือกันวันนี้ ไม่ใช่เรื่องของใครนะครับ,satid,,PPTV,https://www.pptvhd36.com/news/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87/152733
2021-07-28,ผมกล้าพูดเพราะสัปดาห์หนึ่งแวะไป 4 วัน จะแออัดแค่ช่วงเช้า แต่เมื่อได้เข้าไปแล้วก็ไม่แออัด <b>ทั้งนี้มุมกล้องหรืออะไรก็สามารถทำได้หมดเพื่อให้ดูแออัด</b>,anuthin,กล่าวถึงภาพที่แออัดจากการฉีดวัคซีนที่สถานีกลางบางซื่อ,ประชาชาติ,https://www.prachachat.net/breaking-news/news-725647
2021-07-29,<b>กลุ่มขบวนการเด็กเลี้ยงแกะ ที่สร้างภาพสร้างสถานการณ์นั้น ขอให้คำนึงถึงความเป็นคน</b> เลิกการกระทำดังกล่าวเสีย เพราะในสถานการณ์วิกฤตโควิดแบบนี้ ทุกวินาทีมีค่าต่อชีวิตผู้ป่วยที่รอคอยความช่วยเหลือ,tipanan,กล่าวถึงกรณีภาพผู้เสียชีวิตบนถนนที่ถูกกล่าวหาว่าเป็นการจัดฉาก,มติชน,https://www.matichon.co.th/politics/news_2856075
2020-04-10,บุคคลที่ขาดจิตสำนึก ขาดความรับผิดชอบเหล่านี้ จะทำให้พ่อแม่ พี่น้อง ประชาชนคนไทยที่หาเช้ากินค่ำ และคนส่วนใหญ่ ต้องลำบากในการใช้ชีวิตในช่วงเวลานี้ <b>ผมขอเตือนให้แก้ไขตัวเอง</b>,prayut,ระบุถึงผู้ฝ่าฝืน มีการมั่วสุม ชุมนุมกันในยามวิกาล,The Standard,https://www.facebook.com/thestandardth/posts/2405741976385347
2021-08-06,ต้องมีการสอบสวนข้อเท็จจริง <b>ไม่ควรที่จะออกกฎหมายนิรโทษกรรมแบบกึ่งเหมาเข่งแบบนี้ เราจะมีหน้ามองตาของเด็กๆ ที่ต้องกำพร้าพ่อแม่ได้อย่างไร</b> เห็นด้วยให้คุ้มครองเฉพาะบุคลากรคนด่านหน้า อย่านิรโทษล่วงหน้าให้กับผู้ที่มีหน้าที่ในการตัดสินใจเชิงนโยบาย,wiroj,กรณี พ.ร.ก. จำกัดความรับผิดสำหรับบุคลากรสาธารณสุขในการรักษาผู้ป่วยโควิด 19,กรุงเทพธุรกิจ,https://www.bangkokbiznews.com/news/detail/953589
2021-08-12,<b>ผมก็ไม่เข้าใจเหมือนกัน</b> แต่ผมก็ต้องไปดูข้อเท็จจริงว่ามันเป็นยังไง ใครเป็นคนรับผิดชอบ มันเป็นความผิดหรือเปล่า,anuthin,ตอบกรณีที่มีทหารได้ไฟเซอร์ก่อนด่านหน้า,Kapook,https://covid-19.kapook.com/view245293.html
2021-08-09,เราไม่ต้องการให้บรรดาแพทย์ พยาบาล มีความวิตกกังวลหากถูกฟ้องร้อง แม้จะมั่นใจว่าชนะก็ยังมีความวิตกกังวลระดับหนึ่ง <b>เราต้องการให้แพทย์ พยาบาล มีขวัญกำลังใจเต็มที่จะได้ทุ่มเทในการรักษาพยาบาล สุดท้ายประชาชนคนไข้ก็ได้ประโยชน์</b>,anuthin,กรณี พ.ร.ก. จำกัดความรับผิดสำหรับบุคลากรสาธารณสุขในการรักษาผู้ป่วยโควิด 19,The Standard,https://thestandard.co/anutin-launching-the-royal-decree-on-limiting-liability/
2021-08-09,ทั้งหมดนี้เกิดจากการบริหารวัคซีนที่ผิดพลาดมาตั้งแต่ต้น หยุดเอาบุคลากรการแพทย์มาบังหน้า หยุดเอาประชาชนเป็นตัวประกัน หยุดทำเรื่องไร้ยางอาย <b>ประชาชนยังตายกันไม่หยุดหย่อน แต่รัฐบาลกลับคิดหาทางเอาตัวรอด พ้นผิดลอยนวล</b>,pannika,กรณี พ.ร.ก. จำกัดความรับผิดสำหรับบุคลากรสาธารณสุขในการรักษาผู้ป่วยโควิด 19,The Standard,https://thestandard.co/pannika-wanich-and-liability-law-to-fight-covid-by-goverment/
2021-08-16,<b>ถ้าจะกั๊กวัคซีนแล้วไปฉีดให้วีไอพีเป็นไปไม่ได้ครับ ถ้าลูกน้องตัวเองยังกินข้าวไม่อิ่มหรือยังไม่ได้วัคซีน เป็นเรื่องที่คนทำก็ไง่เต็มทนถ้าจะทำแบบนั้น</b> ทั้งนี้สาเหตุเกิดจากความผิดพลาดของผู้จัดทำรายชื่อ ซึ่งต้องตรวจสอบว่าเผยแพร่ออกมาได้อย่างไรทั้งที่ยังไม่เรียบร้อย,tanawit,กรณีที่พบความผิดปกติของรายชื่อที่ได้รับจัดสรรไฟเซอร์ จากโควต้าของบุคลากรด่านหน้า โรงพยาบาลภูมิพล,ช่อง 3,https://ch3plus.com/news/program/253504
2021-08-31,เราก็พยายามพึ่งตัวเองให้ได้มากที่สุดนะครับ <b>เราไม่ได้ไปร้องขอบริจาคจากใคร เห็นประเทศไทยเป็นมิตรประเทศ เค้าบริจาคให้เอง ท่านคิดว่าคนอย่างผมจะขอคนเหรอครับ</b> จิตใจผมมีแต่ให้ ถ้าเรามีวัคซีนเพียงพอผมก็ต้องดูแลอาเซียน,prayut,จากการอภิปรายไม่ไว้วางใจ,ข่าวสด,https://twitter.com/KhaosodOnline/status/1432677682240647174
2021-08-31,ผมฝากไปถึงประชาชนที่บ้านนะครับ ถ้าได้ฟังผมอยู่ตอนนี้ ท่านดูหน้าผม ท่านฟังผม <b>ผมพูดจากหัวใจของผม ผมพูดจากสมองที่ท่านว่าน้อยเนี่ยออกมา แต่ท่านอย่าลืมว่าผมมีประสบการณ์มา 6-7 ปีมาแล้ว ตรงนี้คือความแตกต่างนะครับ</b>,prayut,จากการอภิปรายไม่ไว้วางใจ,ไทยรัฐ,https://www.facebook.com/thairath/posts/10160859051207439
2021-09-01,<b>ในประวัติศาสตร์ไทย ไม่มีนายกฯ คนไหน ช่วยประชาชนได้แบบนี้</b> ไม่มีผู้นำคนไหน ยอมถูกต่อว่า ว่ากู้เงินเก่ง เพื่อนำมาใส่มือประชาชนแบบนี้,prayut,จากการอภิปรายไม่ไว้วางใจ,The Matter,https://www.facebook.com/thematterco/posts/2982790791936303
2021-09-01,สัญญา (วัคซีน AstraZeneca) ที่ พล.อ.ประยุทธ์ไปทำเอาไว้ ไม่ได้มีการระบุยอดประมาณการส่งมอบวัคซีนอะไรเอาไว้เลยจริงๆ จนต้องตั้งคำถามกับ พล.อ.ประยุทธ์ ว่าไปทำสัญญาหละหลวมนี้ไว้ได้อย่างไร? <b>พล.อ.ประยุทธ์และอนุทินไม่ได้คำนึงถึงชีวิตของประชาชนเป็นที่ตั้ง ในใจคิดแต่จะเอาวัคซีนมาสร้างความนิยมทางการเมืองลูกเดียว</b>,wiroj,จากการอภิปรายไม่ไว้วางใจ,The Standard,https://www.facebook.com/thestandardth/posts/2839571756335698
2021-09-01,การพูดถึงซิโนแวค ก็เปรียบเสมือนพูดถึงประเทศจีน <b>เราจะบอกว่าของพี่ของน้องเราไม่ดี เป็นเซินเจิ้น ด้อยค่าเกรด D ไม่ได้หรอกครับ</b>,anuthin,จากการอภิปรายไม่ไว้วางใจ,ช่อง 3,https://ch3plus.com/news/program/255717
2021-09-03,การไปเอารูปมาปะติดปะต่อเพื่อสร้างเรื่องให้คนเข้าใจผิด ท่านน่าจะถูกกล่าวหาว่าบิดเบือนข้อมูล เพราะจากภาพนั้น <b>แม้ไม่ได้อยู่ช่วงของการแพร่ระบาด แต่ก็ได้พยายามป้องกันโดยสวมมาสก์ และเครื่องดื่มที่ดื่มก็เป็นนมเย็น ถ้ากินนมเย็นแล้วถือว่าเสเพลก็ไม่รู้จะพูดอย่างไร</b>,saksiam,ชี้แจงกรณีถูกกล่าวหาว่าเป็นต้นตอการแพร่ระบาดของโควิด และประพฤติตนเสเพลไม่เหมาะสมกับตำแหน่ง จากการอภิปรายไม่ไว้วางใจ,The Standard,https://www.facebook.com/thestandardth/posts/2841352276157646
2021-09-15,<b>วัคซีนทุกชนิดลดการป่วยตายและความรุนแรงของโรคได้</b> การให้วัคซีน 2 เข็มในประเทศไทย ลดความรุนแรง การป่วยตาย โปรดศึกษาการติดเชื้อของทั่วโลก เช่นอเมริกา อิสราเอล ฉีดวัคซีนครอบคลุมก็ไม่สามารถป้องกันการติดเชื้อได้แบบสมบูรณ์,yong,,กรมประชาสัมพันธ์,https://www.facebook.com/Sumnakkaow.PRD/posts/6822372601121535
2021-09-23,I've been advocated for Thailand to get more vaccines and all the Indo-Pacific region. And <b>Thailand has a million doses waiting to go but because Thailand has not finished the paperwork.</b> I know I told the ambassador a month ago.,tammy,Workpoint,https://www.facebook.com/workpointTODAY/videos/1227105267752623
2021-09-24,"ประเทศไทยสามารถให้บริการวัคซีนทั้งเข็ม 1 เข็ม 2 และเข็ม 3 ในวันนี้ได้รวมทั้งสิ้น 1,299,307 โดส <b>ถือว่าเป็นไปตามเป้าการให้บริการวัคซีนของรัฐบาล ที่ต้องการระดมฉีดวัคซีนในวันนี้ให้ได้ถึง 1 ล้านโดส เนื่องในวันมหิดลเพื่อถวายเป็นพระราชกุศล</b>",kiattiphoom,,ไทยรัฐ,https://www.thairath.co.th/news/local/bangkok/2202664
2021-10-11,ประเทศไทยเป็นหนึ่งในประเทศแรกๆ ในโลกที่ลงมือดำเนินการรับมือกับโควิด-19 อย่างรวดเร็วและชัดเจนที่สุด และด้วยความร่วมมือกันของทุกภาคส่วนในสังคม เผชิญหน้ากับวิกฤตที่เกิดขึ้น <b>วันนี้ประเทศไทยเป็นหนึ่งในประเทศที่ประสบความสำเร็จมากที่สุดในโลกในการปกป้องรักษาชีวิตของประชาชน</b>,prayut,,The Standard,https://www.facebook.com/thestandardth/posts/2872191266407080
2021-10-14,<b>วันนี้โควิดก็ยังอยู่เป็นหมื่น แต่เรามีวิธีการที่จะอยู่กับเขาได้ ฉะนั้นท่านเองไม่จำเป็นต้องไปติดเชื้อ อยู่กับเขาไม่ใช่ว่าจะไปติดเชื้อ</b> กิจกรรมของเราต้องทำให้คนที่เข้ามาไม่ติดเชื้อ ถ้าที่ใดแห่งใดดำเนินการแล้วไม่เป็นผลดี จะถูกสั่งปิดได้เหมือนเดิม,taweesin,,Voice TV,https://www.voicetv.co.th/read/M_ujidl1v
2021-10-20,<b>ถ้าเปิด</b> (ประเทศ) <b>แล้วเกิดปัญหาก็ต้องปิด</b>,prayut,,BBC,https://www.bbc.com/thai/thailand-58968273
2021-10-21,วัคซีน Sinovac จากข้อมูลของเราพบว่าเป็นวัคซีนตัวที่ปูพื้นในการฉีดค่อนข้างดี ขณะนี้เหลือค่อนข้างน้อยแล้วนะครับ คาดว่าภายในเดือนนี้จะฉีดหมด เพราะฉะนั้น <b>ผู้ที่อยากจะฉีดวัคซีน Sinovac เพื่อปูพื้นอาจจะต้องรีบหน่อย เพราะว่าในเดือนถัดไป โอกาสที่วัคซีนจะหมดแล้วไม่ได้ฉีด ก็จะเป็นไปได้สูง</b>,opas,,The Standard,https://www.facebook.com/thestandardth/posts/2879932572299616
2021-11-10,<b>ทุกคนจะต้องเข้าใจว่าสิ่งที่รัฐบาลทำในช่วงสถานการณ์โควิดถือว่าหนักที่สุด และไม่เคยมีรัฐบาลไหนเจอสถานการณ์นี้มาก่อน</b> ขอให้เข้าใจรัฐบาลชุดนี้บ้าง ทั้งการใช้งบประมาณและการจัดเก็บภาษี มีปัญหาทั้งหมด ถ้าทุกคนเอาแต่พูดถึงแต่ปัญหา ไม่สร้างความเข้าใจ จะให้ทำอย่างไร อยากรู้ว่าใครจะทำงานอย่างไร ที่นอกเหนือจากที่ทำได้,prayut,,กรุงเทพธุรกิจ,https://www.bangkokbiznews.com/news/970994
2021-11-23,เร่งปิดเกมในคนที่ยังไม่ได้ฉีดเข็ม 1 ที่มีอยู่ 2 ประเภท คือรอวัคซีนต้องการ เช่นไฟเซอร์และโมเดอร์หน้าทั้งที่ไม่ควรรอ <b>จึงขอให้ทิ้งวัคซีนที่จองไว้ก่อนแล้วมารับของรัฐบาล อย่าไปรอ แล้วค่อยไปหาวิธีขอคืนวัคซีนที่จองไว้</b> เช่นอาจเป็นส่วนลดจากโรงพยาบาลเอกชน,anuthin,,ข่าวสด,https://www.khaosod.co.th/politics/news_6746925
2021-12-17,<b>ผมยังยืนยันโควิด-19 ยังเป็นเชื้อไวรัสที่กระจอก แม้จะกลายพันธุ์เป็นหลายสายพันธุ์ ตราบใดยังคงเป็นไวรัสโควิด-19 อยู่</b> ประเทศไทยเรามีความพร้อมในเรื่องของวัคซีน ยิ่งปีหน้า 2565 ทั้งปี ชาวบ้านไม่ต้องจอง สามารถฉีดได้ทั้งปี ไม่ว่าเข็ม 3 - 4 - 5 ก็ฉีดให้,anuthin,,ไทยรัฐ,https://www.facebook.com/thairath/posts/10161101948442439
2022-01-04,<b>รัฐบาลทำหน้าที่เต็มที่แล้ว คนที่ยังไม่เคารพมาตรการ เห็นแก่ตัวก็ติดเชื้อ</b> แต่อย่างน้อยก็ไม่ป่วยหนักเพิ่มขึ้นและเสียชีวิต อัตราเสียชีวิตก็ลดลง อัตราติดเชื้อที่ลงไป 2 พันกว่า กราฟกำลังจะสวย ประเทศจะได้ผ่อนคลายหลายๆ อย่างได้ มีไม่กี่คนรักสนุกไม่คิดถึงคนอื่น ทำให้ติดเชื้อขึ้นมาเป็นหลัก 3 พันราย มาตรการก็ต้องถูกกระชับมากขึ้นอีก,anuthin,,ข่าวสด,https://www.khaosod.co.th/covid-19/news_6815904
2022-01-19,วัคซีนไฟเซอร์เป็นวัคซีนที่ใช้กระตุ้นได้ดี ไม่ว่าจะเป็นการฉีดเบื้องต้น 2 เข็มมาแล้วในสูตรเกือบทุกชนิด การให้วัคซีนเชื้อตายนำมาก่อนได้ผลไม่แตกต่างกับการให้วัคซีนไวรัส Vector หรือ mRNA ข้อมูลแสดงผลการยับยั้งสายพันธุ์เดลต้าและโอมิครอน ได้เป็นอย่างดี แสดงว่า<b>ที่ผ่านมาประเทศไทยได้เดินมาถูกทางแล้ว</b>,yong,,PostToday,https://www.posttoday.com/social/general/673362
2022-02-11,ขอให้ประชาชนเข้าใจว่า<b>ที่ผ่านมารัฐบาลใช้งบประมาณจำนวนมากในการดูแลผู้ป่วยติดเชื้อโควิดฟรี ที่ไม่มีประเทศใดดำเนินการเท่ากับประเทศไทย และต้องยอมรับว่ารัฐบาลรองรับภาระค่าใช้จ่ายไม่ไหว</b> ส่วนตัวจึงเห็นว่าควรช่วยกันฟื้นฟูเศรษฐกิจเพื่อให้เดินหน้าต่อไปได้ และตอนนี้ต้องทำใจเพื่อเปลี่ยนผ่านเพื่อให้เป็นโรคประจำถิ่นให้ได้,udom,ตอบกรณีที่ไทยจะยกเลิกโรคโควิดออกจากบริการ UCEP หรือการให้บริการเจ็บป่วยฉุกเฉินวิกฤตที่มีสิทธิทุกที่ แล้วให้ไปใช้สิทธิตามหลักประกันสุขภาพของแต่ละบุคคล,The Standard,https://www.facebook.com/thestandardth/posts/2967320690227470
